,year,CIK,AssetsCurrent,LiabilitiesCurrent,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,OperatingIncomeLoss,NetIncomeLoss,ticker
968,2011,0001415332,1044125,21730,-487498,-26214,84984,-428728,-610168,-590911,LTUM
969,2011,0001415332,1044125,21730,-487498,-26214,84984,-428728,-610168,-590911,LTUM
974,2011,0001140102,5437131,3601059,-627321,-128664,220000,-535985,886536,853903,HQI
1017,2012,0000798081,73707953,9453188,-4459,-4871932,4616379,-242031,1437567,-376825,LAKE
1037,2011,0001393772,3356,243116,-123736,0,122636,-1100,2086635,2090135,BUDZ
1044,2011,0001514443,372411,844992,-65566,-47016,256290,143708,-1142453,-1171921,AGSS
1045,2011,0001514443,372411,844992,-65566,-47016,256290,143708,-1142453,-1171921,AGSS
1046,2011,0001514443,372411,844992,-65566,-47016,256290,143708,-1142453,-1171921,AGSS
1047,2011,0001514443,372411,844992,-65566,-47016,256290,143708,-1142453,-1171921,AGSS
1048,2011,0001514443,372411,844992,-65566,-47016,256290,143708,-1142453,-1171921,AGSS
1049,2011,0001514443,372411,844992,-65566,-47016,256290,143708,-1142453,-1171921,AGSS
1050,2011,0001514443,372411,844992,-65566,-47016,256290,143708,-1142453,-1171921,AGSS
1051,2011,0001514443,372411,844992,-65566,-47016,256290,143708,-1142453,-1171921,AGSS
1052,2012,0000730255,39789000,23601000,12432000,-510000,-10562000,1360000,7370000,5218000,CAMP
1054,2011,0000819689,9010271,2891593,926488,-3186060,-344659,-2604231,-1218783,-1337472,MICR
1062,2012,0000724910,26170233,1667905,12811910,-12219619,36,592327,14273048,11381095,NVEC
1065,2012,0000914122,82434000,39486000,-190000,-10068000,-1866000,-12509000,-5091000,-4987000,PPIH
1066,2012,0000914122,82434000,39486000,-190000,-10068000,-1866000,-12509000,-5091000,-4987000,PPIH
1067,2012,0000914122,82434000,39486000,-190000,-10068000,-1866000,-12509000,-5091000,-4987000,PPIH
1068,2012,0000914122,82434000,39486000,-190000,-10068000,-1866000,-12509000,-5091000,-4987000,PPIH
1071,2012,0001172178,170020,4457613,-1164147,-29656,249357,-944446,-2115952,-2461459,LBSR
1072,2012,0001439288,1018300000,467300000,139300000,-324200000,93200000,-93000000,241800000,29900000,ZWS
1182,2012,0001295947,147035000,63923000,67452000,-662206000,600434000,5681000,102823000,37212000,PBH
1195,2012,0000091668,11493000,1858000,876000,-431000,1000,446000,744000,746000,SODI
