,year,CIK,AssetsCurrent,LiabilitiesCurrent,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,OperatingIncomeLoss,NetIncomeLoss,ticker
44,2010,0000755001,117100000,126900000,25900000,-49600000,24900000,1200000,28000000,9600000,UTL
45,2010,0000755001,117100000,126900000,25900000,-49600000,24900000,1200000,28000000,9600000,UTL
46,2010,0000876167,483858000,237676000,96201000,-45163000,68164000,110686000,67670000,48571000,PRGS
49,2010,0001133421,9904000000,8386000000,2453000000,-761000000,-1266000000,426000000,788000000,376000000,NOC
53,2011,0000091440,1765500000,881100000,140400000,-303000000,34800000,-127200000,331400000,186500000,SNA
55,2011,0000091440,1530700000,583800000,140400000,-303000000,34800000,-127200000,331400000,186500000,SNA
58,2010,0000048898,1226100000,445000000,266200000,-54700000,45500000,262200000,367800000,217200000,HUBB
59,2010,0000006201,6838000000,8780000000,1241000000,-2030000000,804000000,15000000,308000000,-471000000,AAL
60,2010,0000931148,545884000,220643000,144922000,-321552000,138240000,-38390000,159182000,175068000,EAF
61,2010,0000931148,545884000,220643000,144922000,-321552000,138240000,-38390000,158040000,174660000,EAF
62,2010,0000931148,545884000,220643000,144922000,-321552000,138240000,-38390000,159182000,175068000,EAF
63,2010,0000931148,545884000,220643000,144922000,-321552000,138240000,-38390000,158040000,174660000,EAF
64,2010,0000931148,545884000,220643000,144922000,-321552000,138240000,-38390000,159182000,175068000,EAF
65,2010,0000931148,545884000,220643000,144922000,-321552000,138240000,-38390000,158040000,174660000,EAF
66,2010,0000931148,545884000,220643000,144922000,-321552000,138240000,-38390000,159182000,175068000,EAF
67,2010,0000931148,545884000,220643000,144922000,-321552000,138240000,-38390000,158040000,174660000,EAF
68,2010,0000350894,683719000,127600000,229326000,-41475000,-282436000,-94585000,217533000,231687000,SEIC
69,2010,0001048477,504260000,83844000,18746000,-101342000,3504000,-79092000,544000,205819000,BMRN
70,2010,0000821189,2527446000,2220099000,2708602000,-4902774000,2303419000,103102000,523319000,160654000,EOG
72,2010,0000313927,649481000,447092000,428482000,-180448000,-503724000,-257941000,444953000,270717000,CHD
73,2010,0000029989,10194100000,11023100000,1488000000,-293700000,-537300000,701700000,439700000,246400000,OMC
74,2010,0000940942,329160000,167418000,37654000,-24798000,-24590000,-11719000,69882000,43458000,HUBG
79,2010,0000917520,444849000,200032000,105571000,-42316000,-1574000,56872000,98694000,65669000,IART
84,2011,0000105319,190442000,539135000,281484000,-28646000,-256812000,-5603000,390345000,194235000,WW
86,2011,0001108524,1074924000,1276466000,459081000,-1062554000,14074000,-587014000,-391000,10913000,CRM
127,2011,0000914025,617720000,93602000,158232000,-169911000,-55371000,-65586000,140712000,109243000,POLY
130,2011,0001285785,6684900000,1928500000,2426700000,-572100000,-585000000,1383400000,2664200000,2514600000,MOS
131,2011,0000066382,478100000,272200000,91100000,-31400000,-50200000,13800000,123300000,70800000,MLKN
